### maand, dag, sunrisehh, sunrisemm, sunsethh, sunsetmm	###
06, 16, 04, 02, 20, 42
06, 17, 04, 02, 20, 42
06, 18, 04, 02, 20, 43
06, 19, 04, 02, 20, 43
06, 20, 04, 02, 20, 43
06, 28, 04, 05, 20, 44
06, 29, 04, 06, 20, 43
06, 30, 04, 06, 20, 43
07, 01, 04, 07, 20, 43
07, 02, 04, 08, 20, 42
07, 03, 04, 08, 20, 42
07, 04, 04, 09, 20, 42
07, 05, 04, 10, 20, 41
07, 06, 04, 11, 20, 40
07, 07, 04, 12, 20, 40
07, 08, 04, 13, 20, 39
07, 09, 04, 14, 20, 38
07, 10, 04, 15, 20, 38
07, 11, 04, 16, 20, 37
07, 12, 04, 17, 20, 36